,aircraft,travellers_type,Seat_type,route,date_flown
411,A321,Couple Leisure,Economy Class,London to Lanzarote,March 2023
412,,Couple Leisure,Economy Class,Marrakech to London Heathrow,March 2023
413,,Couple Leisure,Economy Class,London Heathrow to Marrakech,March 2023
414,,Family Leisure,Economy Class,London to Algiers,May 2022
415,,Couple Leisure,Economy Class,Miami to Munich via London,March 2023
416,,Business,Economy Class,New York to London,March 2023
417,A321Neo,Couple Leisure,Economy Class,Cairo to London,March 2023
418,Boeing 777,Solo Leisure,Premium Economy,Mumbai to Nassau via London,March 2023
419,A380,Couple Leisure,First Class,Johannesburg to London,March 2023
420,,Solo Leisure,Economy Class,Munich to London Heathrow,March 2023
421,,Couple Leisure,Economy Class,Amsterdam to London,March 2023
422,,Couple Leisure,Economy Class,Heathrow to Belfast City,March 2023
423,A320,Couple Leisure,Economy Class,Gatwick to Dubrovnik,March 2023
424,,Business,Economy Class,London Heathrow to Amsterdam,March 2023
425,,Solo Leisure,Economy Class,Zagreb to London Heathrow,March 2023
426,,Couple Leisure,Premium Economy,New York JFK to Heathrow,March 2023
427,,Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,December 2022
428,,Family Leisure,Economy Class,London Heathrow to Munich,March 2023
429,,Business,Business Class,London to Dubai,December 2022
430,A320,Solo Leisure,Economy Class,Geneva to London,March 2023
431,,Family Leisure,Economy Class,Prague to London,December 2022
432,,Business,Economy Class,Heathrow to Glasgow,March 2023
433,A321,Business,Economy Class,London Heathrow to Arlanda Stockholm,March 2023
434,,Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,March 2023
435,,Solo Leisure,Business Class,Heathrow to Milan Malpensa,April 2022
436,,Solo Leisure,Economy Class,London to Los Angeles,March 2023
437,Boeing 777 / A320,Solo Leisure,Economy Class,New York to Istanbul via London,March 2023
438,,Couple Leisure,Premium Economy,London Heathrow to Las Vegas,March 2023
439,A321neo,Business,Business Class,London to Cairo,January 2023
440,Boeing 787,Solo Leisure,Economy Class,London Singapore,February 2023
441,A380,Business,Business Class,London to Dubai,February 2023
442,A320,Business,Business Class,Brussels to London,February 2023
443,,Family Leisure,Economy Class,Lyon to London,February 2023
444,,Family Leisure,Economy Class,London to Lyon,February 2023
445,A320,Couple Leisure,Economy Class,Faro to Gatwick,February 2023
446,A320,Family Leisure,Economy Class,Oslo to London,February 2023
447,A320,Solo Leisure,Economy Class,London to Madrid,February 2023
448,,Couple Leisure,Economy Class,Islamabad to London,February 2023
449,,Couple Leisure,Economy Class,Edinburgh to London,February 2023
450,Boeing 787-9,Couple Leisure,Business Class,Mexico City to London,February 2023
451,A320,Solo Leisure,Economy Class,Palma to Gatwick,January 2023
452,,Family Leisure,Economy Class,London to Madrid,February 2023
453,A320,Business,Economy Class,London Heathrow to Glasgow,January 2023
454,,Couple Leisure,Premium Economy,London to Buenos Aires,January 2023
455,Boeing 777-300,Solo Leisure,Premium Economy,London to Vancouver,January 2023
456,,Solo Leisure,Economy Class,Faro to London,January 2023
457,A380,Solo Leisure,First Class,Heathrow to Johannesburg,January 2023
458,Boeing 777-200,Couple Leisure,Business Class,Cape Town to London,January 2023
459,Boeing 777-300ER,Couple Leisure,Business Class,London to Male,January 2023
460,,Solo Leisure,Business Class,London to Vienna,December 2022
461,,Couple Leisure,Economy Class,Johannesburg to Los Angeles via London,January 2023
462,,Solo Leisure,Economy Class,London Gatwick to Alicante,January 2023
463,Boeing 787-8,Family Leisure,Economy Class,London to Tel Aviv,December 2022
464,Boeing 777-200,Couple Leisure,Business Class,London Heathrow to Cape Town,January 2023
465,,Solo Leisure,Economy Class,Gatwick to Dublin,January 2023
466,,Solo Leisure,Premium Economy,London Heathrow to Athens Greece,April 2022
467,Boeing 777-200,Family Leisure,Economy Class,Atlanta to London,January 2023
468,A380,Family Leisure,Economy Class,London to Chicago,December 2022
469,,Family Leisure,Economy Class,Istanbul to Vancouver via Heathrow,January 2023
470,"A320, A380",Family Leisure,Business Class,Vienna to Los Angeles via London Heathrow,January 2023
471,,Business,Business Class,London to San francisco,January 2023
472,A321,Business,Economy Class,London to Belfast,January 2023
473,A380,Business,Economy Class,Doha to London,December 2022
474,Boeing 777,Couple Leisure,Business Class,London to Barbados,December 2022
475,Boeing 777,Solo Leisure,Premium Economy,London Gatwick to Cape Town,December 2022
476,A350,Solo Leisure,Business Class,Cape Town to London,December 2022
477,,Solo Leisure,Economy Class,London Heathrow to Frankfurt,December 2022
478,,Family Leisure,Economy Class,Vancouver to Delhi via London,December 2022
479,A320,Couple Leisure,Economy Class,Marseille to London,December 2022
480,Boeing 777-300,Couple Leisure,First Class,London to Male,December 2022
481,A320,Solo Leisure,Economy Class,Keflavik to London Heathrow,December 2022
482,,Business,Business Class,London Heathrow to Frankfurt,October 2022
483,,Solo Leisure,Economy Class,London Heathrow to Bangkok via Doha,December 2022
484,,Couple Leisure,Premium Economy,London Gatwick to Cancun,November 2022
485,,Solo Leisure,Premium Economy,London to Phoenix,December 2022
486,A321,Business,Business Class,London to Rome,December 2022
487,Boeing 777,Couple Leisure,Business Class,Barbados to London Heathrow,December 2022
488,Boeing 777-200,Solo Leisure,Economy Class,Doha to  Gatwick,November 2022
489,A320,Business,Business Class,Glasgow to London,December 2022
490,Boeing 777,Couple Leisure,Premium Economy,London to Boston,December 2022
491,A320,Solo Leisure,Business Class,London to Prague,November 2022
492,,Business,Business Class,London to Larnaca,December 2022
493,,Family Leisure,Economy Class,Cairo to London,December 2022
494,Boeing 787-9,Business,Economy Class,Denver to London,December 2022
495,A320,Solo Leisure,Business Class,London to Marrakech,June 2022
496,A380,Solo Leisure,Economy Class,San Francisco to London,November 2022
497,A320,Solo Leisure,Business Class,London to Lisbon,November 2022
498,Boeing 787 / A320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022
499,,Solo Leisure,Economy Class,Miami to Budapest via London,November 2022
500,,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),November 2022
501,,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,August 2022
502,Boeing 777,Solo Leisure,Business Class,London to Cape Town,November 2022
503,,Solo Leisure,Economy Class,Milan to Dallas via London,November 2022
504,Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022
505,,Couple Leisure,Business Class,Dubai to Belfast via London,October 2022
506,,Couple Leisure,Economy Class,Dallas to Bologna via London,July 2022
507,,Solo Leisure,Economy Class,San Francisco to London,October 2022
508,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022
509,Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022
510,A350-1000,Solo Leisure,Business Class,London to Los Angeles,October 2022
511,A320,Solo Leisure,Business Class,Copenhagen to Heathrow,October 2022
512,A320,Family Leisure,Economy Class,Larnaca to London,October 2022
513,Boeing 787-10,Couple Leisure,Business Class,Atlanta to London,October 2022
514,A380,Solo Leisure,Business Class,Madrid to San Francisco via London,September 2022
515,A380,Solo Leisure,Economy Class,London to Washington,October 2022
516,A380,Couple Leisure,Economy Class,London to San Francisco,October 2022
517,,Solo Leisure,Economy Class,London to Delhi,October 2022
518,Boeing 777-300,Couple Leisure,Economy Class,London to Los Angeles,October 2022
519,Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,October 2022
520,A380,Solo Leisure,Business Class,Dubai to London,October 2022
521,A320neo,Couple Leisure,Economy Class,London to Cairo,October 2022
522,Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,October 2022
523,A321neo,Business,Economy Class,London to Cairo,October 2022
524,A380,Couple Leisure,Economy Class,Dallas to London,September 2022
525,A319,Couple Leisure,Business Class,Jersey to London Heathrow,September 2022
526,A320,Couple Leisure,Business Class,London Heathrow to Jersey,September 2022
527,A320-200,Solo Leisure,Business Class,Istanbul to London Heathrow,September 2022
528,Boeing 777-200,Solo Leisure,Business Class,London Heathrow to New York JFK,September 2022
529,,Business,Economy Class,Gothenburg to Jersey via London,June 2022
530,,Solo Leisure,Premium Economy,Heathrow to Mexico City,September 2022
531,,Solo Leisure,Economy Class,London to Tampa,September 2022
532,,Solo Leisure,Economy Class,Sydney to London via Singapore,September 2022
533,A320,Couple Leisure,Economy Class,London to Lisbon,September 2022
534,,Business,Business Class,London to Istanbul,September 2022
535,,Couple Leisure,Economy Class,London to Manchester,September 2022
536,Boeing 777,Family Leisure,Economy Class,London to Rome,August 2022
537,,Couple Leisure,Business Class,London Gatwick to Malaga,September 2022
538,,Business,Economy Class,Heathrow to Tenerife,November 2021
539,,Couple Leisure,Economy Class,Manchester to Seattle via London,August 2022
540,,Couple Leisure,Premium Economy,San Francisco to London,April 2022
541,,Couple Leisure,Economy Class,Berlin to London City,August 2022
542,Boeing 787,Couple Leisure,Economy Class,Tel Aviv to London,August 2022
543,,Solo Leisure,Business Class,London to Manila via Singapore,June 2022
544,,Solo Leisure,Economy Class,London to Barcelona,June 2022
545,,Business,Business Class,Los Angeles to Thessaloniki via London,June 2022
546,,Couple Leisure,Economy Class,Boston to Dublin via London,August 2022
547,,Couple Leisure,Economy Class,London to New York,July 2022
548,Boeing 777,Family Leisure,Economy Class,Cape Town to London Heathrow,August 2022
549,,Couple Leisure,Premium Economy,Dallas Ft Worth to London,May 2022
550,,Family Leisure,Economy Class,London to Amsterdam,July 2022
551,A320,Solo Leisure,Business Class,London to Marrakesh,June 2022
552,,Solo Leisure,Economy Class,Accra to London,November 2021
553,,Solo Leisure,Economy Class,Nairobi to New York via London,July 2022
554,A380,Family Leisure,Business Class,San Francisco to London,July 2022
555,A320,Solo Leisure,Economy Class,London to Amman,May 2022
556,,Family Leisure,Economy Class,Edinburgh to Washington via London,July 2022
557,,Couple Leisure,Economy Class,Vancouver to Amsterdam via London,June 2022
558,A350-1000,Couple Leisure,Economy Class,Sao Paulo to Heathrow,July 2022
559,A321,Couple Leisure,Economy Class,London to Reykjavik,May 2022
560,A321,Business,Economy Class,Belfast to London,July 2022
561,,Business Class,London to Malaga,July 2022,
562,,Couple Leisure,Business Class,London to Toronto,July 2022
563,A350,Family Leisure,Business Class,London to Los Angeles,July 2022
564,,Family Leisure,Economy Class,Washington to London,July 2022
565,,Solo Leisure,Premium Economy,Nairobi to New York via London,July 2022
566,Embraer 190,Couple Leisure,Business Class,Dublin to London City,July 2022
567,"A320, Boeing 787",Solo Leisure,Premium Economy,Venice to Baltimore via London Heathrow,July 2022
568,,Couple Leisure,Premium Economy,London to Nairobi,June 2022
569,A350,Couple Leisure,Economy Class,London Heathrow to Johannesburg,June 2022
570,,Family Leisure,Economy Class,Belfast to London,June 2022
571,,Family Leisure,Business Class,June 2022,
572,,Couple Leisure,Economy Class,London to Paris,July 2021
573,,Business,Business Class,Miami to Paris,June 2022
574,,Family Leisure,Economy Class,Edmonton to Cairo,June 2022
575,,Couple Leisure,Premium Economy,Amsterdam to Montreal via London,June 2022
576,,Solo Leisure,Economy Class,Hong Kong to London,April 2022
577,,Family Leisure,Economy Class,Belfast to London,June 2022
578,A350,Business,Economy Class,London to Johannesburg,June 2022
579,A320,Couple Leisure,Economy Class,Paris CDG to London Heathrow,June 2022
580,,Couple Leisure,Business Class,Portland to London,June 2022
581,A320,Business,Business Class,London to Malaga,June 2022
582,,Couple Leisure,Economy Class,Boston to Edinburgh via Heathrow,June 2022
583,,Couple Leisure,Economy Class,Edmonton to Santorini via Toronto / London,June 2022
584,A380,Solo Leisure,Economy Class,Vancouver to London,June 2022
585,Boeing 777-200,Couple Leisure,Business Class,London to san Francisco,June 2022
586,,Business,Economy Class,London to Amsterdam,June 2022
587,Boeing 777,Couple Leisure,Premium Economy,Cancun to London Gatwick,June 2022
588,,Couple Leisure,Economy Class,Phoenix to Hamburg via London,June 2022
589,,Family Leisure,Business Class,Dallas Fort-Worth to Toulouse via London,June 2022
590,A320,Couple Leisure,Business Class,London to Thira,June 2022
591,,Family Leisure,Economy Class,Islamabad to Manchester via Gatwick,April 2022
592,A380,Solo Leisure,Business Class,Vancouver to London,June 2022
593,Boeing 777-300ER,Business,Economy Class,London to Boston,May 2022
594,,Solo Leisure,Economy Class,Johannesburg to Toronto via London,May 2022
595,,Couple Leisure,Economy Class,Zurich to London,February 2022
596,Boeing 777,Couple Leisure,Business Class,Johannesburg to London Heathrow,April 2022
597,,Couple Leisure,Business Class,Miami to Zurich via London,May 2022
598,Boeing 777-300,Family Leisure,Economy Class,Bridgetown to London,May 2022
599,,Family Leisure,Business Class,London to Malaga,May 2022
600,,Couple Leisure,Business Class,Dubrovnik to London,May 2022
601,,Couple Leisure,Economy Class,Amsterdam to London,May 2022
602,,Business,Economy Class,Columbus to Nairobi via Chicago / London,May 2022
603,,Solo Leisure,Economy Class,London to Geneva,March 2022
604,,Solo Leisure,Business Class,London to Mauritius,March 2022
605,A320,Solo Leisure,Economy Class,London Heathrow to Malaga,May 2022
606,,Solo Leisure,Economy Class,Basel to Johannesburg via London,May 2022
607,A320,Couple Leisure,Business Class,Athens to London,May 2022
608,Boeing 787,Solo Leisure,Premium Economy,London to Mexico City,April 2022
609,,Business,Economy Class,Glasgow to New York,May 2022
610,,Solo Leisure,Economy Class,London Heathrow to Los Angeles,May 2022
611,Boeing 777,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May 2022
